Gallicano comune,Gallicano comune.1
,
Gallicano – Veduta,Gallicano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,David Saisi (lista civica Gallicano c'è) dal 26-5-2014 (3º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,44°04′N 10°26′E
Altitudine,186 m s.l.m.
Superficie,"31,04 km²"
Abitanti,3 597[1] (30-11-2025)
Densità,"115,88 ab./km²"
Frazioni,"Bolognana, Campia, Campo, Cardoso, Chieva, Colle Aginaia, Fiattone, La Barca, Perpoli, Ponte di Campia, Trassilico, Turritecava, Verni"
Comuni confinanti,"Barga, Borgo a Mozzano, Castelnuovo di Garfagnana, Coreglia Antelminelli, Fabbriche di Vergemoli, Fosciandora, Molazzana"
Altre informazioni,Altre informazioni
Cod. postale,55027
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046015
Cod. catastale,D874
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 183 GG[3]"
Nome abitanti,gallicanesi
Patrono,san Jacopo
Giorno festivo,25 luglio
Cartografia,Cartografia
Gallicano,Gallicano
Gallicano – MappaPosizione del comune di Gallicano all'interno della provincia di Lucca,Gallicano – MappaPosizione del comune di Gallicano all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
