Forte dei Marmi comune,Forte dei Marmi comune.1
,
Forte dei Marmi – Veduta,Forte dei Marmi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Bruno Murzi (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,26 aprile 1914
Territorio,Territorio
Coordinate,43°57′N 10°11′E
Altitudine,2 m s.l.m.
Superficie,"8,88 km²"
Abitanti,6 574[1] (30-11-2025)
Densità,"740,32 ab./km²"
Frazioni,"Caranna, Roma Imperiale, Vaiana, Vittoria Apuana"
Comuni confinanti,"Montignoso (MS), Pietrasanta, Seravezza"
Altre informazioni,Altre informazioni
Cod. postale,55042
Prefisso,0584
Fuso orario,UTC+1
Codice ISTAT,046013
Cod. catastale,D730
Targa,LU
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 402 GG[3]"
Nome abitanti,"fortemarmino, fortemarmini"
Patrono,Ermete martire
Giorno festivo,28 agosto
Cartografia,Cartografia
Forte dei Marmi,Forte dei Marmi
Forte dei Marmi – MappaPosizione del comune di Forte dei Marmi all'interno della Provincia di Lucca,Forte dei Marmi – MappaPosizione del comune di Forte dei Marmi all'interno della Provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
