Pieve Fosciana comune,Pieve Fosciana comune.1
,
Pieve Fosciana – Veduta,Pieve Fosciana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Francesco Angelini (lista civica Unione democratica) dal 26-5-2025
Territorio,Territorio
Coordinate,44°07′58″N 10°24′43″E
Altitudine,369 m s.l.m.
Superficie,"28,76 km²"
Abitanti,2 182[1] (30-11-2025)
Densità,"75,87 ab./km²"
Frazioni,"Bargecchia, Capraia, Pellizzana, Pontardeto, Pontecosi, Sillico"
Comuni confinanti,"Camporgiano, Castelnuovo di Garfagnana, Castiglione di Garfagnana, Fosciandora, Pievepelago (MO), San Romano in Garfagnana, Villa Collemandina"
Altre informazioni,Altre informazioni
Cod. postale,55036
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046025
Cod. catastale,G648
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 448 GG[3]"
Nome abitanti,pievarini
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Pieve Fosciana,Pieve Fosciana
Pieve Fosciana – MappaPosizione del comune di Pieve Fosciana all'interno della provincia di Lucca,Pieve Fosciana – MappaPosizione del comune di Pieve Fosciana all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
