Villa Basilica comune,Villa Basilica comune.1
,
Villa Basilica – Veduta,Villa Basilica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Giordano Ballini (Azione-lista civica Proposta per il comune di Villa Basilica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°55′N 10°39′E
Altitudine,330 m s.l.m.
Superficie,"36,57 km²"
Abitanti,1 464[1] (30-11-2025)
Densità,"40,03 ab./km²"
Frazioni,"Barbagliana, Biecina, Botticino, Boveglio, Capornano, Colognora, Distendino, Duomo, Guzzano, Pariana, Pizzorne, Pracando, Ponte a Villa, Pontoro"
Comuni confinanti,"Bagni di Lucca, Borgo a Mozzano, Capannori, Pescia (PT)"
Altre informazioni,Altre informazioni
Cod. postale,55019
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,046034
Cod. catastale,L913
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 924 GG[3]"
Nome abitanti,Villesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Villa Basilica,Villa Basilica
Villa Basilica – MappaPosizione del comune di Villa Basilica all'interno della provincia di Lucca,Villa Basilica – MappaPosizione del comune di Villa Basilica all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
