Altopascio comune,Altopascio comune.1
,
Altopascio – Veduta,Altopascio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Sara D'Ambrosio (centro-sinistra) dal 21-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°49′00″N 10°40′29″E
Altitudine,19 m s.l.m.
Superficie,"28,58 km²"
Abitanti,16 175[1] (30-11-2025)
Densità,"565,96 ab./km²"
Frazioni,"Badia Pozzeveri, Marginone, Spianate[2]"
Comuni confinanti,"Bientina (PI), Capannori, Castelfranco di Sotto (PI), Chiesina Uzzanese (PT), Fucecchio (FI), Montecarlo, Porcari"
Altre informazioni,Altre informazioni
Cod. postale,55011
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046001
Cod. catastale,A241
Targa,LU
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 648 GG[4]"
Nome abitanti,altopascesi
Patrono,san Jacopo
Giorno festivo,25 luglio
Cartografia,Cartografia
Altopascio,Altopascio
Altopascio – MappaPosizione del comune di Altopascio all'interno della provincia di Lucca,Altopascio – MappaPosizione del comune di Altopascio all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
