Sillano Giuncugnano comune,Sillano Giuncugnano comune.1
,
Sillano Giuncugnano – Veduta,Sillano Giuncugnano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Capoluogo,Sillano
Sindaco,Marco Reali (lista civica Territorio e sviluppo) dal 21-9-2020
Territorio,Territorio
Coordinate del capoluogo,44°14′N 10°18′E
Altitudine,735 m s.l.m.
Superficie,"81,30[1] km²"
Abitanti,970[2] (30-11-2025)
Densità,"11,93 ab./km²"
Frazioni,vedi sezione
Comuni confinanti,"Casola in Lunigiana (MS), Fivizzano (MS), Minucciano, Piazza al Serchio, San Romano in Garfagnana, Ventasso (RE), Villa Collemandina, Villa Minozzo (RE)"
Altre informazioni,Altre informazioni
Cod. postale,55039
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046037
Cod. catastale,M347
Targa,LU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 194 GG[4]"
Nome abitanti,sillanesi e giuncugnani
Patrono,san Bartolomeo (Sillano) sant'Antonino (Giuncugnano)
Giorno festivo,24 agosto (Sillano) 2 settembre (Giuncugnano)
Cartografia,Cartografia
Sillano,Sillano
Sillano Giuncugnano – MappaPosizione del comune di Sillano Giuncugnano nella provincia di Lucca,Sillano Giuncugnano – MappaPosizione del comune di Sillano Giuncugnano nella provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
