Vagli Sotto comune,Vagli Sotto comune.1
,
Vagli Sotto – VedutaPanorama del lago con il ponte di Vagli Sotto,Vagli Sotto – VedutaPanorama del lago con il ponte di Vagli Sotto
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Mario Puglia (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,44°07′N 10°17′E
Altitudine,575 m s.l.m.
Superficie,"41,22 km²"
Abitanti,761[1] (30-11-2025)
Densità,"18,46 ab./km²"
Frazioni,"Campocatino, Fabbriche di Careggine, Fontana Delle Monache, Roggio, Vagli Sopra"
Comuni confinanti,"Camporgiano, Careggine, Massa (MS), Minucciano, Stazzema"
Altre informazioni,Altre informazioni
Cod. postale,55030
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046031
Cod. catastale,L533
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 903 GG[3]"
Nome abitanti,vaglini
Patrono,san Regolo
Giorno festivo,1º settembre
Cartografia,Cartografia
Vagli Sotto,Vagli Sotto
Vagli Sotto – MappaPosizione del comune di Vagli Sotto all'interno della provincia di Lucca,Vagli Sotto – MappaPosizione del comune di Vagli Sotto all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
