Piazza al Serchio comune,Piazza al Serchio comune.1
,
Piazza al Serchio – VedutaPanorama di Piazza al Serchio,Piazza al Serchio – VedutaPanorama di Piazza al Serchio
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Andrea Carrari (lista civica Un futuro per Piazza al Serchio) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°11′N 10°18′E
Altitudine,536 m s.l.m.
Superficie,"27,03 km²"
Abitanti,2 039[1] (30-11-2025)
Densità,"75,43 ab./km²"
Frazioni,"Borsigliana, Cogna, Colognola, Cortia, Gragnana, Livignano, Nicciano, Petrognano, Petrognola, San Donnino, San Michele, Sant'Anastasio, Vergnano"
Comuni confinanti,"Camporgiano, Minucciano, San Romano in Garfagnana, Sillano Giuncugnano"
Altre informazioni,Altre informazioni
Cod. postale,55035
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046023
Cod. catastale,G582
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 764 GG[3]"
Nome abitanti,piazzini
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Piazza al Serchio,Piazza al Serchio
Piazza al Serchio – MappaPosizione del comune di Piazza al Serchio all'interno della provincia di Lucca,Piazza al Serchio – MappaPosizione del comune di Piazza al Serchio all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
