Camporgiano comune,Camporgiano comune.1
,
Camporgiano – VedutaPanorama da San Romano in Garfagnana,Camporgiano – VedutaPanorama da San Romano in Garfagnana
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Francesco Pifferi Guasparini (lista civica Insieme per Camporgiano) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°09′39″N 10°20′04″E
Altitudine,475 m s.l.m.
Superficie,"27,09 km²"
Abitanti,1 982[1] (30-11-2025)
Densità,"73,16 ab./km²"
Frazioni,"Casatico, Casciana, Cascianella, Filicaia, Poggio, Puglianella, Roccalberti, Sillicano, Vitoio"
Comuni confinanti,"Careggine, Castelnuovo di Garfagnana, Minucciano, Piazza al Serchio, Pieve Fosciana, San Romano in Garfagnana, Vagli Sotto"
Altre informazioni,Altre informazioni
Cod. postale,55031
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046006
Cod. catastale,B557
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 633 GG[3]"
Nome abitanti,camporgianesi
Patrono,san Iacopo
Giorno festivo,25 luglio
Cartografia,Cartografia
Camporgiano,Camporgiano
Camporgiano – MappaPosizione del comune di Camporgiano all'interno della provincia di Lucca,Camporgiano – MappaPosizione del comune di Camporgiano all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
