Pescaglia comune,Pescaglia comune.1
,
Pescaglia – VedutaPescaglia (terziere Il Poggio),Pescaglia – VedutaPescaglia (terziere Il Poggio)
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Andrea Bonfanti (lista civica Progetto Pescaglia) dal 27-5-2019
Territorio,Territorio
Coordinate,43°58′N 10°25′E
Altitudine,504 m s.l.m.
Superficie,"70,55 km²"
Abitanti,3 163[1] (30-11-2025)
Densità,"44,83 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Borgo a Mozzano, Camaiore, Fabbriche di Vergemoli, Lucca, Stazzema"
Altre informazioni,Altre informazioni
Cod. postale,55064
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046022
Cod. catastale,G480
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 695 GG[3]"
Nome abitanti,pescaglini
Patrono,Madonna della Solca
Giorno festivo,21 agosto
Cartografia,Cartografia
Pescaglia,Pescaglia
Pescaglia – MappaPosizione del comune di Pescaglia all'interno della provincia di Lucca,Pescaglia – MappaPosizione del comune di Pescaglia all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
