Fabbriche di Vergemoli comune,Fabbriche di Vergemoli comune.1
,
Fabbriche di Vergemoli – VedutaScorcio della frazione di Fabbriche di Vallico,Fabbriche di Vergemoli – VedutaScorcio della frazione di Fabbriche di Vallico
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Michele Giannini (lista civica Insieme) dal 26-5-2014 (2º mandato dal 27-5-2019)
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate,44°00′53.41″N 10°23′27.79″E
Altitudine,349 m s.l.m.
Superficie,"42,55[1] km²"
Abitanti,692[2] (30-11-2025)
Densità,"16,26 ab./km²"
Frazioni,"Calomini, Campolemisi, Fabbriche di Vallico (Capoluogo), Fornovolasco, Gragliana, San Luigi, San Pellegrinetto, Vallico Sopra, Vallico Sotto, Vergemoli[3][4]"
Comuni confinanti,"Borgo a Mozzano, Gallicano, Molazzana, Pescaglia, Stazzema"
Altre informazioni,Altre informazioni
Cod. postale,55021 (Fabbriche di Vallico); 55020 (Vergemoli)
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046036
Cod. catastale,M319
Targa,LU
Cl. sismica,zona 2 (sismicità media)[5]
Cl. climatica,"zona E, 2 988 GG[6]"
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Fabbriche di Vergemoli,Fabbriche di Vergemoli
Fabbriche di Vergemoli – MappaPosizione del comune di Fabbriche di Vergemoli nella provincia di Lucca,Fabbriche di Vergemoli – MappaPosizione del comune di Fabbriche di Vergemoli nella provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
