Capannori comune,Capannori comune.1
,
"Capannori – VedutaLa chiesa dei Santi Quirico e Giulitta, nel centro di Capannori.","Capannori – VedutaLa chiesa dei Santi Quirico e Giulitta, nel centro di Capannori."
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Giordano Del Chiaro (PD) dal 10-06-2024
Territorio,Territorio
Coordinate,43°52′32″N 10°34′25″E
Altitudine,15 m s.l.m.
Superficie,"155,96 km²"
Abitanti,46 745[1] (30-11-2025)
Densità,"299,72 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Altopascio, Bientina (PI), Borgo a Mozzano, Buti (PI), Calci (PI), Lucca, Montecarlo, Pescia (PT), Porcari, San Giuliano Terme (PI), Villa Basilica"
Altre informazioni,Altre informazioni
Cod. postale,"55012 (capoluogo), 55010, 55013, 55014, 55018, 55060, 55061, 55062"
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046007
Cod. catastale,B648
Targa,LU
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 691 GG[3]"
Nome abitanti,capannoresi
Patrono,San Quirico e Giulitta
Giorno festivo,16 giugno
Cartografia,Cartografia
Capannori,Capannori
Capannori – MappaPosizione del comune di Capannori all'interno della provincia di Lucca,Capannori – MappaPosizione del comune di Capannori all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
