Castiglione di Garfagnana comune,Castiglione di Garfagnana comune.1
,
Castiglione di Garfagnana – VedutaVeduta del paese,Castiglione di Garfagnana – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Daniele Gaspari (lista civica Progetto cambiamento) dal 26-5-2014
Territorio,Territorio
Coordinate,44°09′03″N 10°24′42″E
Altitudine,545 m s.l.m.
Superficie,"48,53 km²"
Abitanti,1 686[1] (30-11-2025)
Densità,"34,74 ab./km²"
Frazioni,"Boccaia, Campori, Casone di Profecchia, Cerageto, Chiozza, Col d'Arciana, Filippe, Isola, Mozzanella, Passo Radici, Pegaia, Pian di Cerreto, Pozzatelle, Prunaccio, San Pellegrino in Alpe, Valbona"
Comuni confinanti,"Frassinoro (MO), Pieve Fosciana, Pievepelago (MO), Villa Collemandina, Villa Minozzo (RE)"
Altre informazioni,Altre informazioni
Cod. postale,55033
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046010
Cod. catastale,C303
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 784 GG[3]"
Nome abitanti,castiglionesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Castiglione di Garfagnana,Castiglione di Garfagnana
Castiglione di Garfagnana – MappaPosizione del comune di Castiglione di Garfagnana all'interno della provincia di Lucca,Castiglione di Garfagnana – MappaPosizione del comune di Castiglione di Garfagnana all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
