Minucciano comune,Minucciano comune.1
,
Minucciano – VedutaPanorama di Minucciano,Minucciano – VedutaPanorama di Minucciano
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Nicola Poli (lista civica Uniti per Minucciano) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°10′N 10°13′E
Altitudine,697 m s.l.m.
Superficie,"57,28 km²"
Abitanti,1 721[1] (30-11-2025)
Densità,"30,05 ab./km²"
Frazioni,"Agliano, Albiano, Antognano, Carpinelli, Castagnola, Gorfigliano, Gramolazzo, Metra, Pieve San Lorenzo, Pugliano, Sermezzana, Verrucolette"
Comuni confinanti,"Camporgiano, Casola in Lunigiana (MS), Fivizzano (MS), Massa (MS), Piazza al Serchio, Sillano Giuncugnano, Vagli Sotto"
Altre informazioni,Altre informazioni
Cod. postale,55034
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046019
Cod. catastale,F225
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 112 GG[3]"
Nome abitanti,minuccianesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Minucciano,Minucciano
Minucciano – MappaPosizione del comune di Minucciano all'interno della provincia di Lucca,Minucciano – MappaPosizione del comune di Minucciano all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
