Bagni di Lucca comune,Bagni di Lucca comune.1
,
Bagni di Lucca – Veduta,Bagni di Lucca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Paolo Michelini (lista civica di centro-sinistra Per Guardare Avanti) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,44°00′34″N 10°34′46″E
Altitudine,150 m s.l.m.
Superficie,"164,71 km²"
Abitanti,5 482[1] (30-11-2025)
Densità,"33,28 ab./km²"
Frazioni,"Bagni Caldi, Benabbio, Brandeglio, Casabasciana, Casoli, Cocciglia, Crasciana, Fabbriche di Casabasciana, Fornoli, Granaiola, Isola, Limano, Lucchio, Lugliano, Montefegatesi, Monti di Villa, Palleggio, Pieve di Monti di Villa, Pieve di Controni, Ponte a Serraglio, San Cassiano, San Gemignano, Val Fegana, Vico Pancellorum[2]"
Comuni confinanti,"Abetone Cutigliano (PT), Borgo a Mozzano, Coreglia Antelminelli, Pescia (PT), San Marcello Piteglio (PT), Villa Basilica"
Altre informazioni,Altre informazioni
Cod. postale,55022
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046002
Cod. catastale,A560
Targa,LU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 227 GG[4]"
Nome abitanti,"bagnaioli, bagnalucchesi"
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Bagni di Lucca,Bagni di Lucca
Bagni di Lucca – MappaPosizione del comune di Bagni di Lucca all'interno della provincia di Lucca,Bagni di Lucca – MappaPosizione del comune di Bagni di Lucca all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
