Coreglia Antelminelli comune,Coreglia Antelminelli comune.1
,
Coreglia Antelminelli – Veduta,Coreglia Antelminelli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Marco Remaschi (Azione) dal 21-9-2020
Territorio,Territorio
Coordinate,44°03′52″N 10°31′35″E
Altitudine,595 m s.l.m.
Superficie,"52,94 km²"
Abitanti,5 086[1] (30-11-2025)
Densità,"96,07 ab./km²"
Frazioni,"Calavorno, Ghivizzano, Gromignana, Lucignana, Piano di Coreglia, Tereglio, Vitiana[2]"
Comuni confinanti,"Abetone Cutigliano (PT), Bagni di Lucca, Barga, Borgo a Mozzano, Fiumalbo (MO), Gallicano, Pievepelago (MO)"
Altre informazioni,Altre informazioni
Cod. postale,55025
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046011
Cod. catastale,C996
Targa,LU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 892 GG[4]"
Nome abitanti,coreglini
Patrono,Arcangelo Michele
Giorno festivo,8 maggio
Cartografia,Cartografia
Coreglia Antelminelli,Coreglia Antelminelli
Coreglia Antelminelli – MappaPosizione del comune di Coreglia Antelminelli all'interno della provincia di Lucca,Coreglia Antelminelli – MappaPosizione del comune di Coreglia Antelminelli all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
