Provincia di Lucca provincia,Provincia di Lucca provincia.1
,
"Provincia di Lucca – VedutaPalazzo Ducale, sede della Provincia.","Provincia di Lucca – VedutaPalazzo Ducale, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Amministrazione,Amministrazione
Capoluogo,Lucca
Presidente,Marcello Pierucci (PD) dal 30-9-2024
Territorio,Territorio
Coordinate del capoluogo,43°51′N 10°31′E
Altitudine,19 (Lucca) m s.l.m.
Superficie,"1 773,22 km²"
Abitanti,380 422[1] (31-10-2025)
Densità,"214,54 ab./km²"
Comuni,33 comuni
Province confinanti,"Modena (Emilia-Romagna), Reggio Emilia (Emilia-Romagna), Massa-Carrara, Pisa, Firenze, Pistoia"
Altre informazioni,Altre informazioni
Cod. postale,55011 ... 55100
Prefisso,"0583, 0584, 0572"
Fuso orario,UTC+1
ISO 3166-2,IT-LU
Codice ISTAT,046
Targa,LU
Cartografia,Cartografia
Provincia di Lucca – Localizzazione,Provincia di Lucca – Localizzazione
Provincia di Lucca – MappaPosizione della provincia di Lucca all'interno della Toscana.,Provincia di Lucca – MappaPosizione della provincia di Lucca all'interno della Toscana.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
