Massarosa comune,Massarosa comune.1
,
Massarosa – Veduta,Massarosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Simona Barsotti (centro-sinistra) dal 18-10-2021
Territorio,Territorio
Coordinate,43°52′N 10°20′E
Altitudine,10 m s.l.m.
Superficie,"68,27 km²"
Abitanti,21 768[1] (30-11-2025)
Densità,"318,85 ab./km²"
Frazioni,"Bargecchia, Bozzano, Compignano, Corsanico, Gualdo, Massaciuccoli, Mommio (Castello), Montigiano, Montramito, Piano del Quercione, Piano di Conca, Piano di Mommio, Pieve a Elici, Quiesa, Stiava"
Comuni confinanti,"Camaiore, Lucca, Vecchiano (PI), Viareggio"
Altre informazioni,Altre informazioni
Cod. postale,"55040, 55054"
Prefisso,0584
Fuso orario,UTC+1
Codice ISTAT,046018
Cod. catastale,F035
Targa,LU
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 433 GG[3]"
Nome abitanti,massarosesi
Patrono,san Iacopo
Giorno festivo,25 luglio
Cartografia,Cartografia
Massarosa,Massarosa
Massarosa – MappaPosizione del comune di Massarosa all'interno della provincia di Lucca,Massarosa – MappaPosizione del comune di Massarosa all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
