Careggine comune,Careggine comune.1
,
"Careggine – VedutaPanorama del centro di Careggine, con la porta d'accesso, la Pieve di San Pietro e il campanile","Careggine – VedutaPanorama del centro di Careggine, con la porta d'accesso, la Pieve di San Pietro e il campanile"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Lucia Rossi (lista civica Uniti per Careggine) dal 27-5-2019
Territorio,Territorio
Coordinate,44°07′15″N 10°19′35″E
Altitudine,882 m s.l.m.
Superficie,"24,08 km²"
Abitanti,485[1] (30-11-2025)
Densità,"20,14 ab./km²"
Frazioni,"Capanne di Careggine, Capricchia, Isola Santa"
Comuni confinanti,"Camporgiano, Castelnuovo di Garfagnana, Molazzana, Stazzema, Vagli Sotto"
Altre informazioni,Altre informazioni
Cod. postale,55030
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046008
Cod. catastale,B760
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 512 GG[3]"
Nome abitanti,caregginini
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Careggine,Careggine
Careggine – MappaPosizione del comune di Careggine all'interno della provincia di Lucca,Careggine – MappaPosizione del comune di Careggine all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
