Barga comune,Barga comune.1
,
Barga – Veduta,Barga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Caterina Campani (lista civica di centro-sinistra) dal 27-5-2019 (2° mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°04′30″N 10°28′54″E
Altitudine,410 m s.l.m.
Superficie,"66,47 km²"
Abitanti,9 331[1] (30-11-2025)
Densità,"140,38 ab./km²"
Frazioni,"Albiano, Castelvecchio Pascoli, Filecchio, Fornaci di Barga, Loppia, Mologno, Ponte all'Ania, Renaio, San Pietro in Campo, Sommocolonia, Tiglio[2]"
Comuni confinanti,"Coreglia Antelminelli, Fosciandora, Gallicano, Molazzana, Pievepelago (MO)"
Altre informazioni,Altre informazioni
Cod. postale,55051
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046003
Cod. catastale,A657
Targa,LU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 536 GG[4]"
Nome abitanti,barghigiani
Patrono,san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Barga,Barga
Barga – MappaPosizione del comune di Barga all'interno della provincia di Lucca,Barga – MappaPosizione del comune di Barga all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
