Villa Collemandina comune,Villa Collemandina comune.1
,
"Villa Collemandina – VedutaDal basso: Villa Collemandina, Canigiano e Corfino","Villa Collemandina – VedutaDal basso: Villa Collemandina, Canigiano e Corfino"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Francesco Pioli (lista civica Tradizione e futuro) dal 27-5-2019
Territorio,Territorio
Coordinate,44°10′N 10°24′E
Altitudine,549 m s.l.m.
Superficie,"34,79 km²"
Abitanti,1 160[1] (30-11-2025)
Densità,"33,34 ab./km²"
Frazioni,"Canigiano, Corfino, Magnano, Massa Sassorosso, Pianacci, Sassorosso"
Comuni confinanti,"Castiglione di Garfagnana, Pieve Fosciana, San Romano in Garfagnana, Sillano Giuncugnano, Villa Minozzo (RE)"
Altre informazioni,Altre informazioni
Cod. postale,55030
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046035
Cod. catastale,L926
Targa,LU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 792 GG[3]"
Nome abitanti,villesi
Patrono,san Sisto e santa Margherita
Giorno festivo,6 agosto
Cartografia,Cartografia
Villa Collemandina,Villa Collemandina
Villa Collemandina – MappaPosizione del comune di Villa Collemandina all'interno della provincia di Lucca,Villa Collemandina – MappaPosizione del comune di Villa Collemandina all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
