Fosciandora comune,Fosciandora comune.1
,
Fosciandora – VedutaLe frazioni del comune viste da Palleroso,Fosciandora – VedutaLe frazioni del comune viste da Palleroso
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Moreno Lunardi (lista civica Uniti per Fosciandora) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°06′57″N 10°27′34″E
Altitudine,390 m s.l.m.
Superficie,"19,86 km²"
Abitanti,549[1] (30-11-2025)
Densità,"27,64 ab./km²"
Frazioni,"Ceserana, La Villa, Lupinaia, Migliano, Riana, Treppignana[2]"
Comuni confinanti,"Barga, Castelnuovo di Garfagnana, Gallicano, Pieve Fosciana, Pievepelago (MO)"
Altre informazioni,Altre informazioni
Cod. postale,55020
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046014
Cod. catastale,D734
Targa,LU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 449 GG[4]"
Nome abitanti,fosciandorini
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Fosciandora,Fosciandora
Fosciandora – MappaPosizione del comune di Fosciandora all'interno della provincia di Lucca,Fosciandora – MappaPosizione del comune di Fosciandora all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
