Torralba comune,Torralba comune.1
(IT) Torralba (SC) Turàlva,(IT) Torralba (SC) Turàlva
,
Torralba – Veduta,Torralba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Pier Paolo Mulas (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°30′48.5″N 8°45′53.49″E
Altitudine,435 m s.l.m.
Superficie,"36,5 km²"
Abitanti,856[1] (30-11-2025)
Densità,"23,45 ab./km²"
Comuni confinanti,"Bonnanaro, Bonorva, Borutta, Cheremule, Giave, Mores"
Altre informazioni,Altre informazioni
Cod. postale,07048
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112060
Cod. catastale,L235
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) torralbesi (SC) turalvesos
Cartografia,Cartografia
Torralba,Torralba
Torralba – MappaPosizione del comune di Torralba nella città metropolitana di Sassari,Torralba – MappaPosizione del comune di Torralba nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
