Monteleone Rocca Doria comune,Monteleone Rocca Doria comune.1
(IT) Monteleone Rocca Doria (SC) Monteleòne,(IT) Monteleone Rocca Doria (SC) Monteleòne
,
Monteleone Rocca Doria – Veduta,Monteleone Rocca Doria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Giovannina Fresi (lista civica) dall'11-11-2021
Territorio,Territorio
Coordinate,40°28′18″N 8°33′38″E
Altitudine,368 m s.l.m.
Superficie,"13,39 km²"
Abitanti,105[1] (30-11-2025)
Densità,"7,84 ab./km²"
Comuni confinanti,"Padria, Romana, Villanova Monteleone"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112031
Cod. catastale,F542
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 615 GG[3]"
Nome abitanti,(IT) monteleonesi (SC) monteleonesos
Patrono,santo Stefano
Giorno festivo,3 agosto
Cartografia,Cartografia
Monteleone Rocca Doria,Monteleone Rocca Doria
Monteleone Rocca Doria – MappaPosizione del comune di Monteleone Rocca Doria nella città metropolitana di Sassari,Monteleone Rocca Doria – MappaPosizione del comune di Monteleone Rocca Doria nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
