Valledoria comune,Valledoria comune.1
"(IT) Valledòria (SDN, SDC) Codaruìna","(IT) Valledòria (SDN, SDC) Codaruìna"
,
Valledoria – VedutaValledoria vista da Monte Ossoni,Valledoria – VedutaValledoria vista da Monte Ossoni
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Marco Muretti (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°55′41.41″N 8°49′28.55″E
Altitudine,16 m s.l.m.
Superficie,"25,95 km²"
Abitanti,4 310[1] (30-11-2025)
Densità,"166,09 ab./km²"
Frazioni,"La Ciaccia, La Muddizza"
Comuni confinanti,"Badesi (OT), Castelsardo, Santa Maria Coghinas, Sedini, Viddalba"
Altre informazioni,Altre informazioni
Cod. postale,07039
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112064
Cod. catastale,L604
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"(IT) valledoriani (SDC, SDN) codaruinesi"
Cartografia,Cartografia
Valledoria,Valledoria
Valledoria – MappaPosizione del comune di Valledoria nella città metropolitana di Sassari,Valledoria – MappaPosizione del comune di Valledoria nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
