Ossi comune,Ossi comune.1
"(IT, SC) Òssi","(IT, SC) Òssi"
,
Ossi – Veduta,Ossi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Pasquale Lubinu (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°40′28.86″N 8°35′31.8″E
Altitudine,322 m s.l.m.
Superficie,"30,09 km²"
Abitanti,5 355[1] (30-11-2025)
Densità,"177,97 ab./km²"
Comuni confinanti,"Cargeghe, Florinas, Ittiri, Muros, Sassari, Tissi, Usini"
Altre informazioni,Altre informazioni
Cod. postale,07045
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,090051
Cod. catastale,G178
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) ossesi (SC) ossesos
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Ossi,Ossi
Ossi – MappaPosizione del comune di Ossi nella città metropolitana di Sassari,Ossi – MappaPosizione del comune di Ossi nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
