Tergu comune,Tergu comune.1
(IT) Tergu (SDC) Zelgu,(IT) Tergu (SDC) Zelgu
,
Tergu – Veduta,Tergu – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Luca Ruzzu (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°51′53″N 8°42′45″E
Altitudine,284 m s.l.m.
Superficie,"36,88 km²"
Abitanti,614[1] (30-11-2025)
Densità,"16,65 ab./km²"
Comuni confinanti,"Castelsardo, Nulvi, Osilo, Sedini, Sennori, Sorso"
Altre informazioni,Altre informazioni
Cod. postale,07030
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,090086
Cod. catastale,M282
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) tergulani (SDC) zelgulani
Cartografia,Cartografia
Tergu,Tergu
Tergu – MappaPosizione del comune di Tergu nella città metropolitana di Sassari,Tergu – MappaPosizione del comune di Tergu nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
