Burgos comune,Burgos comune.1
(IT) Burgos (SC) Su Burgu,(IT) Burgos (SC) Su Burgu
,
Burgos – Veduta,Burgos – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Leonardo Tilocca (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°23′29″N 8°59′40″E
Altitudine,575 m s.l.m.
Superficie,"18,08 km²"
Abitanti,816[1] (30-11-2025)
Densità,"45,13 ab./km²"
Comuni confinanti,"Bottidda, Esporlatu, Illorai"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112014
Cod. catastale,B276
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) burghesi (SC) burghesos
Patrono,sant'Antonio abate
Cartografia,Cartografia
Burgos,Burgos
Burgos – MappaPosizione del comune di Burgos nella città metropolitana di Sassari,Burgos – MappaPosizione del comune di Burgos nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
