Semestene comune,Semestene comune.1
(IT) Semestene (SC) Semèstene,(IT) Semestene (SC) Semèstene
,
Semestene – Veduta,Semestene – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Antonella Buda (lista civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°23′55.18″N 8°43′31.51″E
Altitudine,408 m s.l.m.
Superficie,"39,58 km²"
Abitanti,126[1] (30-11-2025)
Densità,"3,18 ab./km²"
Comuni confinanti,"Bonorva, Cossoine, Macomer (NU), Pozzomaggiore, Sindia (NU)"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,090066
Cod. catastale,I598
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) semestenesi (SC) semestenesos
Patrono,san Giorgio Martire
Cartografia,Cartografia
Semestene,Semestene
Semestene – MappaPosizione del comune di Semestene nella città metropolitana di Sassari,Semestene – MappaPosizione del comune di Semestene nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
