Tula comune,Tula comune.1
"(IT, SC) Tula","(IT, SC) Tula"
,
Tula – Veduta,Tula – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Andrea Becca (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,40°43′57″N 8°59′05″E
Altitudine,275 m s.l.m.
Superficie,"66,19 km²"
Abitanti,1 425[1] (30-11-2025)
Densità,"21,53 ab./km²"
Frazioni,Sa Sia
Comuni confinanti,"Erula, Oschiri (OT), Ozieri, Tempio Pausania (OT)"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112061
Cod. catastale,L464
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) tulesi (SC) tulesos
Patrono,santa Elena Imperatrice
Giorno festivo,18 agosto
Cartografia,Cartografia
Tula,Tula
Tula – MappaPosizione del comune di Tula nella città metropolitana di Sassari,Tula – MappaPosizione del comune di Tula nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
