Tissi comune,Tissi comune.1
"(IT, SC) Tissi","(IT, SC) Tissi"
,
Tissi – Veduta,Tissi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Giovanni Maria Budroni (lista civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°40′40″N 8°33′45″E
Altitudine,250 m s.l.m.
Superficie,"10,24 km²"
Abitanti,2 347[1] (30-11-2025)
Densità,"229,2 ab./km²"
Comuni confinanti,"Ossi, Sassari, Usini"
Altre informazioni,Altre informazioni
Cod. postale,07040
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,090072
Cod. catastale,L180
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) tissesi (SC) tissesos
Patrono,Santa Vittoria
Giorno festivo,mese di maggio (15/05)
Cartografia,Cartografia
Tissi,Tissi
Tissi – MappaPosizione del comune di Tissi nella città metropolitana di Sassari,Tissi – MappaPosizione del comune di Tissi nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
