Bono comune,Bono comune.1
(IT) Bono (SC) Bòno,(IT) Bono (SC) Bòno
,
Bono – VedutaIl municipio.,Bono – VedutaIl municipio.
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Michele Solinas (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°24′55″N 9°01′43″E
Altitudine,540 m s.l.m.
Superficie,"74,54 km²"
Abitanti,3 230[1] (30-11-2025)
Densità,"43,33 ab./km²"
Comuni confinanti,"Anela, Benetutti, Bonorva, Bottidda, Bultei, Burgos, Nughedu San Nicolò, Oniferi (NU), Orotelli (NU)"
Altre informazioni,Altre informazioni
Cod. postale,07011
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112008
Cod. catastale,A977
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) bonesi (SC) bonesos
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Bono,Bono
Bono – MappaPosizione del comune di Bono nella città metropolitana di Sassari,Bono – MappaPosizione del comune di Bono nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
