Borutta comune,Borutta comune.1
(IT) Borutta (SC) Borùta,(IT) Borutta (SC) Borùta
,
Borutta – VedutaBorutta dal colle di Sorres,Borutta – VedutaBorutta dal colle di Sorres
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Silvano Quirico Salvatore Arru (lista civica) dal 15-5-2011 (3º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,40°31′20″N 8°44′37″E
Altitudine,491 m s.l.m.
Superficie,"4,76 km²"
Abitanti,244[1] (30-11-2025)
Densità,"51,26 ab./km²"
Comuni confinanti,"Bessude, Bonnanaro, Cheremule, Thiesi, Torralba"
Altre informazioni,Altre informazioni
Cod. postale,07040
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112010
Cod. catastale,B064
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) boruttesi (SC) borutesos
Cartografia,Cartografia
Borutta,Borutta
Borutta – MappaPosizione del comune di Borutta nella città metropolitana di Sassari,Borutta – MappaPosizione del comune di Borutta nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
