Viddalba comune,Viddalba comune.1
(IT) Viddàlba (SDN) Viddaèccja,(IT) Viddàlba (SDN) Viddaèccja
,
Viddalba – Veduta,Viddalba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,"Gavino Giovanni Andrea Salvatore Oggiano (lista civica ""Per Viddalba"") dal 26-10-2026"
Territorio,Territorio
Coordinate,40°54′57.69″N 8°53′40.92″E
Altitudine,22 m s.l.m.
Superficie,"50,41 km²"
Abitanti,1 566[1] (30-11-2025)
Densità,"31,07 ab./km²"
Frazioni,"Giagazzu, Giùncana, L'Avru, Li Reni, Tungoni"
Comuni confinanti,"Aggius (OT), Badesi (OT), Bortigiadas (OT), Santa Maria Coghinas, Trinità d'Agultu e Vignola (OT), Valledoria"
Altre informazioni,Altre informazioni
Cod. postale,07030
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112065
Cod. catastale,M259
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) viddalbesi (SDN) viddaeccjesi
Cartografia,Cartografia
Viddalba,Viddalba
Viddalba – MappaPosizione del comune di Viddalba nella città metropolitana di Sassari,Viddalba – MappaPosizione del comune di Viddalba nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
