Nule comune,Nule comune.1
"(IT, SC) Nule","(IT, SC) Nule"
,
Nule – Veduta,Nule – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Antonio Giuseppe Mellino (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,40°27′42″N 9°11′21″E
Altitudine,650 m s.l.m.
Superficie,"51,95 km²"
Abitanti,1 262[1] (30-11-2025)
Densità,"24,29 ab./km²"
Comuni confinanti,"Benetutti, Bitti (NU), Orune (NU), Osidda (NU), Pattada"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112035
Cod. catastale,F976
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) nulesi (SC) nulesos
Patrono,Santa Maria Bambina
Cartografia,Cartografia
Nule,Nule
Nule – MappaPosizione del comune di Nule nella città metropolitana di Sassari,Nule – MappaPosizione del comune di Nule nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
