Uri comune,Uri comune.1
"(IT, SC) Uri","(IT, SC) Uri"
,
Uri – Veduta,Uri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Matteo Emanuele Dettori (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,40°38′20″N 8°29′17″E
Altitudine,150 m s.l.m.
Superficie,"56,81 km²"
Abitanti,2 818[1] (30-11-2025)
Densità,"49,6 ab./km²"
Comuni confinanti,"Alghero, Ittiri, Olmedo, Putifigari, Sassari, Usini"
Altre informazioni,Altre informazioni
Cod. postale,07040
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112062
Cod. catastale,L503
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) uresi (SC) uresos
Patrono,Nostra Signora della Pazienza
Giorno festivo,13 settembre
Cartografia,Cartografia
Uri,Uri
Uri – MappaPosizione del comune di Uri nella città metropolitana di Sassari,Uri – MappaPosizione del comune di Uri nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
