Florinas comune,Florinas comune.1
(IT) Florinas (SC) Fiolìnas,(IT) Florinas (SC) Fiolìnas
,
Florinas – Veduta,Florinas – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Enrico Lobino (lista civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°39′N 8°40′E
Altitudine,417 m s.l.m.
Superficie,"36,06 km²"
Abitanti,1 463[1] (30-11-2025)
Densità,"40,57 ab./km²"
Comuni confinanti,"Banari, Cargeghe, Codrongianos, Ittiri, Ossi, Siligo"
Altre informazioni,Altre informazioni
Cod. postale,07030
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112023
Cod. catastale,D637
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) florinesi (SC) fiolinesos
Cartografia,Cartografia
Florinas,Florinas
Florinas – MappaPosizione del comune di Florinas nella città metropolitana di Sassari,Florinas – MappaPosizione del comune di Florinas nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
