Bultei comune,Bultei comune.1
(IT) Bultei (SC) Urtèi,(IT) Bultei (SC) Urtèi
,
Bultei – VedutaBultei vista dall'alto,Bultei – VedutaBultei vista dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Daniele Arca (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°27′27″N 9°03′40″E
Altitudine,509 m s.l.m.
Superficie,"96,83 km²"
Abitanti,776[1] (30-11-2025)
Densità,"8,01 ab./km²"
Comuni confinanti,"Anela, Benetutti, Bono, Nughedu San Nicolò, Pattada"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112012
Cod. catastale,B264
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) bulteini (SC) urteinos
Patrono,Margherita di Antiochia
Cartografia,Cartografia
Bultei,Bultei
Bultei – MappaPosizione del comune di Bultei nella città metropolitana di Sassari,Bultei – MappaPosizione del comune di Bultei nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
