Porto Torres comune,Porto Torres comune.1
(IT) Porto Torres (SDC) Porthudorra,(IT) Porto Torres (SDC) Porthudorra
,
Porto Torres – VedutaPanorama aereo,Porto Torres – VedutaPanorama aereo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,"Massimo Mulas (Lista civica, PD, Italia in Comune) dal 9-11-2020"
Data di istituzione,11 giugno 1842
Territorio,Territorio
Coordinate,40°50′13″N 8°24′05″E
Altitudine,5 m s.l.m.
Superficie,"104,41 km²"
Abitanti,20 643[1] (30-11-2025)
Densità,"197,71 ab./km²"
Frazioni,"Li Lioni, Serra li Pozzi, Asinara, Isola Piana, Fiume Santo (condivisa con il comune di Sassari), Platamona (condivisa con i comuni di Sassari e Sorso)"
Comuni confinanti,Sassari
Altre informazioni,Altre informazioni
Cod. postale,07046
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,090058
Cod. catastale,G924
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"(IT) turritani, portotorresi (SDC) porthuddurresi, bainzini"
Patrono,"san Gavino come principale, san Proto e san Gianuario come compatroni"
Giorno festivo,Lunedì dopo Pentecoste
Cartografia,Cartografia
Porto Torres,Porto Torres
Porto Torres – MappaPosizione del comune di Porto Torres nella città metropolitana di Sassari,Porto Torres – MappaPosizione del comune di Porto Torres nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
