Santa Maria Coghinas comune,Santa Maria Coghinas comune.1
(IT) Santa Maria Coghinas (SDN) Cuzìna,(IT) Santa Maria Coghinas (SDN) Cuzìna
,
Santa Maria Coghinas – Veduta,Santa Maria Coghinas – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Pietro Carbini (lista civica) dall'11-6-2012 (3º mandato dal 13-6-2022)
Data di istituzione,1983
Territorio,Territorio
Coordinate,40°54′14″N 8°52′06″E
Altitudine,21 m s.l.m.
Superficie,"22,97 km²"
Abitanti,1 352[1] (30-11-2025)
Densità,"58,86 ab./km²"
Frazioni,"Buroni, La Scalitta, Longareddu, Isolana, La Multa Bianca"
Comuni confinanti,"Bortigiadas (OT), Bulzi, Perfugas, Sedini, Valledoria, Viddalba"
Altre informazioni,Altre informazioni
Cod. postale,07030
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,090087
Cod. catastale,M284
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) coghinesi (SDN) cuzinesi
Patrono,Madonna delle Grazie
Cartografia,Cartografia
Santa Maria Coghinas,Santa Maria Coghinas
Santa Maria Coghinas – MappaPosizione del comune di Santa Maria Coghinas nella città metropolitana di Sassari,Santa Maria Coghinas – MappaPosizione del comune di Santa Maria Coghinas nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
