Sassari comune,Sassari comune.1
"(IT, SDC) Sàssari (SC) Tàtari","(IT, SDC) Sàssari (SC) Tàtari"
,
Sassari – Veduta,Sassari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Giuseppe Mascia (PD) dal 17-6-2024
Territorio,Territorio
Coordinate,40°43′36″N 8°33′33″E
Altitudine,225 m s.l.m.
Superficie,"547,04 km²"
Abitanti,120 287[1] (30-11-2025)
Densità,"219,89 ab./km²"
Frazioni,"Argentiera, Bancali, Baratz, Biancareddu, Bonassai, Caffè Roma, Campanedda, Canaglia, Caniga, Filigheddu, La Corte, La Crucca, La Landrigga, La Muntagna, La Pedraia, Li Punti, Mandra di l'Ainu, Marchetto, Molafà, Ottava, Palmadula, Pian di Sorres, Platamona (condivisa con i comuni di Sorso e Porto Torres), Saccheddu, San Camillo, San Francesco, San Giovanni, Tottubella, Truncu Reale, Villa Assunta (condivisa con il comune di Alghero), Villa Gorizia, Fiume Santo (condivisa con il comune di Porto Torres), Zuari"
Comuni confinanti,"Alghero, Muros, Olmedo, Osilo, Ossi, Porto Torres, Sennori, Sorso, Stintino, Tissi, Uri, Usini"
Altre informazioni,Altre informazioni
Cod. postale,"07100, 07040"
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,090064
Cod. catastale,I452
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 185 GG[3]"
Nome abitanti,"(IT, SDC) sassaresi  Turritani (SC) tattaresos"
Patrono,"San Nicola Santi Gavino, Proto e Gianuario Madonna delle Grazie[4]"
Giorno festivo,6 dicembre; ultima domenica di maggio
PIL procapite,"(nominale) 19 457,28 €[senza fonte]"
Cartografia,Cartografia
Sassari,Sassari
Sassari – MappaPosizione del Comune di Sassari all'interno dell'omonima Città metropolitana,Sassari – MappaPosizione del Comune di Sassari all'interno dell'omonima Città metropolitana
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
