Duino-Aurisina comune,Duino-Aurisina comune.1
(IT) Duino-Aurisina (SL) Devin-Nabrežina,(IT) Duino-Aurisina (SL) Devin-Nabrežina
(dettagli)  (dettagli),(dettagli)  (dettagli)
Duino-Aurisina – VedutaCastello di Duino,Duino-Aurisina – VedutaCastello di Duino
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Trieste
Amministrazione,Amministrazione
Sindaco,Igor Gabrovec (centro-sinistra) dal 13-6-2022
Data di istituzione,1928
Territorio,Territorio
Coordinate,45°46′13.34″N 13°38′55.06″E
Altitudine,da 2 a 330 m s.l.m.
Superficie,"45,31 km²"
Abitanti,8 196[1] (30-11-2025)
Densità,"180,89 ab./km²"
Frazioni,"Aurisina/Nabrežina, Aurisina Cave/Nabrežina Kamnolomi (sede comunale), Aurisina Santa Croce/Nabrežina Križ, Aurisina Stazione/Nabrežina Postaja, Ceroglie/Cerovlje, Duino/Devin, Malchina/Mavhinje, Marina di Aurisina, Medeazza/Medjevas, Precenico/Prečnik, Prepotto/Praprot, San Giovanni di Duino/Štivan, San Pelagio/Šempolaj, Sistiana/Sesljan, Slivia/Slivno, Sorgenti di Aurisina, Ternova/Trnovca, Villaggio del Pescatore/Ribiško Naselje, Visogliano/Vižovlje[2]"
Comuni confinanti,"Comeno (SLO), Doberdò del Lago (GO), Monfalcone (GO), Sesana (SLO), Sgonico, Trieste"
Altre informazioni,Altre informazioni
Lingue,"italiano, sloveno"
Cod. postale,34011
Prefisso,040
Fuso orario,UTC+1
Codice ISTAT,032001
Cod. catastale,D383
Targa,TS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 411 GG[4]"
Nome abitanti,"duinati e duinesi (devinčani), aurisiniani (nabrežinci)"
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Duino-Aurisina,Duino-Aurisina
Duino-Aurisina – MappaPosizione del comune di Duino-Aurisina in provincia di Trieste,Duino-Aurisina – MappaPosizione del comune di Duino-Aurisina in provincia di Trieste
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
