Trieste comune,Trieste comune.1
Trieste,Trieste
(dettagli),(dettagli)
Trieste – VedutaVista della città dal lato nord del Castello di San Giusto; sullo sfondo il golfo di Trieste,Trieste – VedutaVista della città dal lato nord del Castello di San Giusto; sullo sfondo il golfo di Trieste
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Trieste
Amministrazione,Amministrazione
Sindaco,Roberto Dipiazza (FI) dal 20-6-2016 (2º mandato dal 18-10-2021)
Territorio,Territorio
Coordinate,45°39′01″N 13°46′13″E
Altitudine,2 (min. 0 max. 672) m s.l.m.
Superficie,"85,11 km²"
Abitanti,198 652[1] (30-11-2025)
Densità,"2 334,06 ab./km²"
Frazioni,"Santa Croce, Grignano, Miramare, Prosecco, Contovello, Opicina, Banne, Conconello, Trebiciano, Gropada, Padriciano, Longera, Basovizza"
Comuni confinanti,"Duino-Aurisina, Erpelle-Cosina (SLO), Monrupino, Muggia, San Dorligo della Valle, Sesana (SLO), Sgonico"
Altre informazioni,Altre informazioni
Cod. postale,"34121-34151 (aboliti 34012, 34014, 34017)"
Prefisso,040
Fuso orario,UTC+1
Codice ISTAT,032006
Cod. catastale,L424
Targa,TS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 102 GG[3]"
Nome abitanti,triestini
Patrono,san Giusto di Trieste
Giorno festivo,3 novembre
Cartografia,Cartografia
Trieste,Trieste
Trieste – MappaPosizione del comune di Trieste nell'omonima provincia,Trieste – MappaPosizione del comune di Trieste nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
