Casalattico comune,Casalattico comune.1
,
Casalattico – Veduta,Casalattico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Francesco Antonio Di Lucia (lista civica Viva Casalattico) dal 4-10-2021
Territorio,Territorio
Coordinate,41°37′18″N 13°43′30″E
Altitudine,420 m s.l.m.
Superficie,"28,38 km²"
Abitanti,516[1] (30-11-2025)
Densità,"18,18 ab./km²"
Frazioni,"San Nazario, Montattico, Sant'Andrea, Macchia, Monforte, Lesche, Matassa, Fusco, Verticchio, Celluccio, Serra, Santa Caterina"
Comuni confinanti,"Arpino, Atina, Casalvieri, Colle San Magno, Santopadre, Terelle"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060017
Cod. catastale,B862
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 855 GG[3]"
Nome abitanti,casalatticesi
Patrono,san Barbato
Giorno festivo,19 febbraio
Cartografia,Cartografia
Casalattico,Casalattico
Casalattico – MappaPosizione del comune di Casalattico nella provincia di Frosinone,Casalattico – MappaPosizione del comune di Casalattico nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
