Villa Latina comune,Villa Latina comune.1
,
Villa Latina – Veduta,Villa Latina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,"Luciano Persichini (RipartiAmo Villa Latina, lista civica) dal 15-05-2023"
Data di istituzione,1º gennaio 1833 (Agnone)
Territorio,Territorio
Coordinate,41°37′N 13°50′E
Altitudine,415 m s.l.m.
Superficie,"17,02 km²"
Abitanti,1 130[1] (30-11-2025)
Densità,"66,39 ab./km²"
Frazioni,"Vallegrande, vedi Frazioni e contrade"
Comuni confinanti,"Atina, Belmonte Castello, Picinisco, Sant'Elia Fiumerapido"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060088
Cod. catastale,A081
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 107 GG[3]"
Nome abitanti,agnonesi
Patrono,"santissima Annunziata, sant'Antonio di Padova"
Giorno festivo,"25 marzo, 13 giugno"
Cartografia,Cartografia
Villa Latina,Villa Latina
Villa Latina – MappaPosizione del comune di Villa Latina nella provincia di Frosinone,Villa Latina – MappaPosizione del comune di Villa Latina nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
