Colfelice comune,Colfelice comune.1
,
Colfelice – Veduta,Colfelice – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Gabriella Protano (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,41°33′N 13°36′E
Altitudine,158 m s.l.m.
Superficie,"14,52 km²"
Abitanti,1 748[1] (30-11-2025)
Densità,"120,39 ab./km²"
Frazioni,Villafelice
Comuni confinanti,"Arce, Rocca d'Arce, Roccasecca, San Giovanni Incarico"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060027
Cod. catastale,C836
Targa,FR
Cl. sismica,zona 2A (sismicità media) zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 425 GG[3]"
Nome abitanti,colfeliciani
Patrono,san Gaetano di Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
Colfelice,Colfelice
Colfelice – MappaPosizione del comune di Colfelice nella provincia di Frosinone,Colfelice – MappaPosizione del comune di Colfelice nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
