Trevi nel Lazio comune,Trevi nel Lazio comune.1
,
Trevi nel Lazio – VedutaVeduta di Trevi nel Lazio,Trevi nel Lazio – VedutaVeduta di Trevi nel Lazio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Silvio Grazioli (lista civica) dal 1-6-2015
Territorio,Territorio
Coordinate,41°51′44″N 13°14′49″E
Altitudine,821 m s.l.m.
Superficie,"54,32 km²"
Abitanti,1 709[1] (30-11-2025)
Densità,"31,46 ab./km²"
Frazioni,Altipiani di Arcinazzo
Comuni confinanti,"Arcinazzo Romano (RM), Filettino, Fiuggi, Guarcino, Jenne (RM), Piglio, Vallepietra (RM)"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060080
Cod. catastale,L398
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 604 GG[3]"
Nome abitanti,trebani
Patrono,san Pietro Eremita
Giorno festivo,30 agosto
Cartografia,Cartografia
Trevi nel Lazio,Trevi nel Lazio
Trevi nel Lazio – MappaPosizione del comune di Trevi nel Lazio nella provincia di Frosinone,Trevi nel Lazio – MappaPosizione del comune di Trevi nel Lazio nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
