Rocca d'Arce comune,Rocca d'Arce comune.1
,
Rocca d'Arce – Veduta,Rocca d'Arce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Rita Colafrancesco (lista civica La rocca) dal 27-5-2019
Territorio,Territorio
Coordinate,41°35′N 13°35′E
Altitudine,507 m s.l.m.
Superficie,"11,58 km²"
Abitanti,833[1] (30-11-2025)
Densità,"71,93 ab./km²"
Frazioni,"Fraioli, Giardini, Murata, Pantanone,Capuano Village"
Comuni confinanti,"Arce, Colfelice, Fontana Liri, Roccasecca, Santopadre"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060059
Cod. catastale,H393
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 107 GG[3]"
Nome abitanti,rocchigiani
Patrono,san Bernardo pellegrino
Giorno festivo,13 settembre
Cartografia,Cartografia
Rocca d'Arce,Rocca d'Arce
Rocca d'Arce – MappaPosizione del comune di Rocca d'Arce nella provincia di Frosinone,Rocca d'Arce – MappaPosizione del comune di Rocca d'Arce nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
