Arpino comune,Arpino comune.1
,
Arpino – Veduta,Arpino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Vittorio Sgarbi (Rinascimento) dal 2-6-2023
Territorio,Territorio
Coordinate,41°38′49.38″N 13°36′41.58″E
Altitudine,447 m s.l.m.
Superficie,"56,24 km²"
Abitanti,6 519[1] (30-11-2025)
Densità,"115,91 ab./km²"
Frazioni,"Abate, Carnello, Civitavecchia, Collecarino, Colle Lo Zoppo, Forglieta, Panaccio, Sant'Amasio, Scaffa, Vallefredda, Vallone, Vignepiane"
Comuni confinanti,"Broccostella, Casalattico, Casalvieri, Castelliri, Fontana Liri, Fontechiari, Isola del Liri, Monte San Giovanni Campano, Santopadre, Sora"
Altre informazioni,Altre informazioni
Cod. postale,03033
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060010
Cod. catastale,A433
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 123 GG[3]"
Nome abitanti,arpinati
Patrono,Madonna di Loreto
Giorno festivo,10 dicembre
Cartografia,Cartografia
Arpino,Arpino
Arpino – MappaPosizione del comune di Arpino nella provincia di Frosinone,Arpino – MappaPosizione del comune di Arpino nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
