Gallinaro comune,Gallinaro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Mario Piselli (lista civica) dal 14-6-2004
Territorio,Territorio
Coordinate,41°39′28″N 13°47′54″E
Altitudine,558 m s.l.m.
Superficie,"17,74 km²"
Abitanti,1 169[1] (30-11-2025)
Densità,"65,9 ab./km²"
Comuni confinanti,"Alvito, Atina, Picinisco, San Donato Val di Comino, Settefrati"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060040
Cod. catastale,D881
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 131 GG[3]"
Nome abitanti,gallinaresi
Patrono,san Gerardo
Giorno festivo,11 agosto
Cartografia,Cartografia
Gallinaro,Gallinaro
Gallinaro – MappaPosizione del comune di Gallinaro nella provincia di Frosinone,Gallinaro – MappaPosizione del comune di Gallinaro nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
