Anagni comune,Anagni comune.1
,
Anagni – Veduta,Anagni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Daniele Natalia (centro-destra) dal 25-6-2018
Territorio,Territorio
Coordinate,41°45′N 13°09′E
Altitudine,424[1] m s.l.m.
Superficie,"112,81[2] km²"
Abitanti,20 633[3] (30-11-2025)
Densità,"182,9 ab./km²"
Frazioni,"Ara la Stella, Osteria della Fontana, San Filippo, Tufano/Vallevona, San Bartolomeo, Faito, Vignola-Monti, Pantanello, Cucugnano, Collacciano"
Comuni confinanti,"Acuto, Ferentino, Gavignano (RM), Paliano, Piglio, Sgurgola, Gorga (RM), Montelanico (RM), Fumone"
Altre informazioni,Altre informazioni
Cod. postale,03012
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060006
Cod. catastale,A269
Targa,FR
Cl. sismica,zona 2B (sismicità media)[4]
Cl. climatica,"zona D, 1 911 GG[5]"
Nome abitanti,anagnini
Patrono,san Magno
Giorno festivo,19 agosto
Cartografia,Cartografia
Anagni,Anagni
Anagni – MappaPosizione del comune di Anagni nella provincia di Frosinone,Anagni – MappaPosizione del comune di Anagni nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
