Posta Fibreno comune,Posta Fibreno comune.1
,
Posta Fibreno – VedutaVeduta di Posta Fibreno,Posta Fibreno – VedutaVeduta di Posta Fibreno
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Adamo Pantano (lista civica Posta Fibreno in Comune) dal 2014
Data di istituzione,1957
Territorio,Territorio
Coordinate,41°42′N 13°42′E
Altitudine,430 m s.l.m.
Superficie,"9,8 km²"
Abitanti,1 031[1] (30-11-2025)
Densità,"105,2 ab./km²"
Frazioni,"Camminate, Campo Gizzi, Carpello, Casalvittoria, Centro Storico, Colleroccia, Cona, Lollo, Piscina, Pizzone, Tagliata"
Comuni confinanti,"Alvito, Broccostella, Campoli Appennino, Fontechiari, Vicalvi"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060057
Cod. catastale,G935
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 859 GG[3]"
Nome abitanti,postesi
Patrono,santa Vittoria e santa Blandina
Giorno festivo,19 agosto
Cartografia,Cartografia
Posta Fibreno,Posta Fibreno
Posta Fibreno – MappaPosizione del comune di Posta Fibreno nella provincia di Frosinone,Posta Fibreno – MappaPosizione del comune di Posta Fibreno nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
