Ferentino comune,Ferentino comune.1
,
Ferentino – VedutaIl duomo.,Ferentino – VedutaIl duomo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Piergianni Fiorletta (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,41°41′N 13°15′E
Altitudine,395 m s.l.m.
Superficie,81 km²
Abitanti,19 909[1] (30-11-2025)
Densità,"245,79 ab./km²"
Frazioni,Porciano
Comuni confinanti,"Acuto, Alatri, Anagni, Fiuggi, Frosinone, Fumone, Morolo, Sgurgola, Supino, Trivigliano"
Altre informazioni,Altre informazioni
Cod. postale,03013
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060033
Cod. catastale,D539
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 913 GG[3]"
Nome abitanti,ferentinesi (o ferentinati)
Patrono,sant'Ambrogio martire
Giorno festivo,1º maggio
Cartografia,Cartografia
Ferentino,Ferentino
Ferentino – MappaPosizione del comune di Ferentino nella provincia di Frosinone,Ferentino – MappaPosizione del comune di Ferentino nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
