Sant'Elia Fiumerapido comune,Sant'Elia Fiumerapido comune.1
,
Sant'Elia Fiumerapido – Veduta,Sant'Elia Fiumerapido – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Fabio Violi (lista civica Per un paese migliore) dal 10-06-2024
Territorio,Territorio
Coordinate,41°33′N 13°52′E
Altitudine,120 m s.l.m.
Superficie,"41,1 km²"
Abitanti,5 556[1] (30-11-2025)
Densità,"135,18 ab./km²"
Frazioni,"Olivella, Portella, Valleluce"
Comuni confinanti,"Belmonte Castello, Cassino, Cervaro, Picinisco, San Biagio Saracinisco, Terelle, Vallerotonda, Villa Latina"
Altre informazioni,Altre informazioni
Cod. postale,03049
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060068
Cod. catastale,I321
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 311 GG[3]"
Nome abitanti,santeliani
Patrono,sant'Elia
Giorno festivo,20 luglio
Cartografia,Cartografia
Sant'Elia Fiumerapido,Sant'Elia Fiumerapido
Sant'Elia Fiumerapido – MappaPosizione del comune di Sant'Elia Fiumerapido nella provincia di Frosinone,Sant'Elia Fiumerapido – MappaPosizione del comune di Sant'Elia Fiumerapido nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
