Pontecorvo comune,Pontecorvo comune.1
,
Pontecorvo – Veduta,Pontecorvo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Anselmo Rotondo (lista civica Noi con voi Anselmo Rotondo sindaco) dal 31-5-2015
Territorio,Territorio
Coordinate,41°27′45.36″N 13°40′03.36″E
Altitudine,97 m s.l.m.
Superficie,"88,8 km²"
Abitanti,12 072[1] (30-11-2025)
Densità,"135,95 ab./km²"
Frazioni,Sant'Oliva
Comuni confinanti,"Aquino, Campodimele (LT), Castrocielo, Esperia, Pico, Pignataro Interamna, Roccasecca, San Giovanni Incarico"
Altre informazioni,Altre informazioni
Cod. postale,03037
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060056
Cod. catastale,G838
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona C, 1 200 GG[3]"
Nome abitanti,pontecorvesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Pontecorvo,Pontecorvo
Pontecorvo – MappaPosizione del comune di Pontecorvo nella provincia di Frosinone,Pontecorvo – MappaPosizione del comune di Pontecorvo nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
