Morolo comune,Morolo comune.1
,
Morolo – Veduta,Morolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Gino Molinari (lista civica Verso orizzonti nuovi) dal 27-5-2019
Territorio,Territorio
Coordinate,41°38′N 13°12′E
Altitudine,397 m s.l.m.
Superficie,"26,57 km²"
Abitanti,3 113[1] (30-11-2025)
Densità,"117,16 ab./km²"
Comuni confinanti,"Ferentino, Gorga (RM), Sgurgola, Supino"
Altre informazioni,Altre informazioni
Cod. postale,03017
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060045
Cod. catastale,F740
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 044 GG[3]"
Nome abitanti,Morolani
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Morolo,Morolo
Morolo – MappaPosizione del comune di Morolo nella provincia di Frosinone,Morolo – MappaPosizione del comune di Morolo nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
