Ceprano comune,Ceprano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Marco Colucci (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,41°33′N 13°31′E
Altitudine,105 m s.l.m.
Superficie,"38,03 km²"
Abitanti,7 972[1] (30-11-2025)
Densità,"209,62 ab./km²"
Frazioni,"Montecitorio, Stazione, Pennea, Campo Le Monache, Caragno, Ponterotto, Colle Frattuccio, Zingardama, Capocroce, Fontana Cialeo"
Comuni confinanti,"Arce, Castro dei Volsci, Falvaterra, Pofi, Ripi, San Giovanni Incarico, Strangolagalli"
Altre informazioni,Altre informazioni
Cod. postale,03024
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060025
Cod. catastale,C479
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona C, 1 324 GG[3]"
Nome abitanti,cepranesi
Patrono,sant'Arduino
Giorno festivo,28 luglio
Cartografia,Cartografia
Ceprano,Ceprano
Ceprano – MappaPosizione del comune di Ceprano nella provincia di Frosinone,Ceprano – MappaPosizione del comune di Ceprano nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
