San Biagio Saracinisco comune,San Biagio Saracinisco comune.1
,
San Biagio Saracinisco – Veduta,San Biagio Saracinisco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Antonio Iaconelli (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,41°37′00″N 13°55′45″E
Altitudine,836 m s.l.m.
Superficie,"31,1 km²"
Abitanti,294[1] (30-11-2025)
Densità,"9,45 ab./km²"
Comuni confinanti,"Castel San Vincenzo (IS), Picinisco, Pizzone (IS), Rocchetta a Volturno (IS), Sant'Elia Fiumerapido, Vallerotonda"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
ISO 3166-2,ISO 3166-2:IT-FR
Codice ISTAT,060061
Cod. catastale,H779
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 658 GG[3]"
Nome abitanti,sanbiagesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
San Biagio Saracinisco,San Biagio Saracinisco
San Biagio Saracinisco – MappaPosizione del comune di San Biagio Saracinisco nella provincia di Frosinone,San Biagio Saracinisco – MappaPosizione del comune di San Biagio Saracinisco nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
