San Giovanni Incarico comune,San Giovanni Incarico comune.1
,
San Giovanni Incarico – Veduta,San Giovanni Incarico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Paolo Fallone (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,41°30′N 13°33′E
Altitudine,200 m s.l.m.
Superficie,"24,71 km²"
Abitanti,2 982[1] (30-11-2025)
Densità,"120,68 ab./km²"
Comuni confinanti,"Arce, Ceprano, Colfelice, Falvaterra, Pastena, Pico, Pontecorvo, Roccasecca"
Altre informazioni,Altre informazioni
Cod. postale,03028
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060064
Cod. catastale,H917
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 499 GG[3]"
Nome abitanti,sangiovannesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
San Giovanni Incarico,San Giovanni Incarico
San Giovanni Incarico – MappaPosizione del comune di San Giovanni Incarico nella provincia di Frosinone,San Giovanni Incarico – MappaPosizione del comune di San Giovanni Incarico nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
