Sgurgola comune,Sgurgola comune.1
(dettagli),(dettagli)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Antonio Corsi (lista civica Insieme per Sgurgola) dal 5-6-2016
Territorio,Territorio
Coordinate,41°40′14.7″N 13°08′57.6″E
Altitudine,386 m s.l.m.
Superficie,"19,22 km²"
Abitanti,2 377[1] (30-11-2025)
Densità,"123,67 ab./km²"
Comuni confinanti,"Anagni, Ferentino, Gorga (RM), Morolo"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060073
Cod. catastale,I716
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 962 GG[3]"
Nome abitanti,sgurgolani
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Sgurgola,Sgurgola
Sgurgola – MappaPosizione del comune di Sgurgola nella provincia di Frosinone,Sgurgola – MappaPosizione del comune di Sgurgola nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
