Coreno Ausonio comune,Coreno Ausonio comune.1
,
Coreno Ausonio – VedutaPiazza Umberto I,Coreno Ausonio – VedutaPiazza Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Simone Costanzo (lista civica Coreno bene comune) dal 27-5-2019
Territorio,Territorio
Coordinate,41°20′35″N 13°46′36″E
Altitudine,318 m s.l.m.
Superficie,"26,38 km²"
Abitanti,1 467[1] (30-11-2025)
Densità,"55,61 ab./km²"
Comuni confinanti,"Ausonia, Castelforte (LT), Castelnuovo Parano, Minturno (LT), Santi Cosma e Damiano (LT), Spigno Saturnia (LT), Vallemaio"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060030
Cod. catastale,C998
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 717 GG[3]"
Nome abitanti,corenesi
Patrono,santa Margherita
Giorno festivo,20 luglio
Cartografia,Cartografia
Coreno Ausonio,Coreno Ausonio
Coreno Ausonio – MappaPosizione del comune di Coreno Ausonio nella provincia di Frosinone,Coreno Ausonio – MappaPosizione del comune di Coreno Ausonio nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
