Sora comune,Sora comune.1
,
Sora – Veduta,Sora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Luca Di Stefano (liste civiche di centro-sinistra) dal 19-10-2021
Territorio,Territorio
Coordinate,41°43′N 13°37′E
Altitudine,300 m s.l.m.
Superficie,"72,13 km²"
Abitanti,24 678[1] (30-11-2025)
Densità,"342,13 ab./km²"
Frazioni,"Carnello, Le Compre, Pescura, San Vincenzo Ferreri, Selva, Tofaro, Valfrancesca"
Comuni confinanti,"Arpino, Balsorano (AQ), Broccostella, Campoli Appennino, Castelliri, Isola del Liri, Monte San Giovanni Campano, Pescosolido, Veroli"
Altre informazioni,Altre informazioni
Cod. postale,03039
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060074
Cod. catastale,I838
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 150 GG[3]"
Nome abitanti,sorani
Patrono,santa Restituta
Giorno festivo,27 maggio
Cartografia,Cartografia
Sora,Sora
Sora – MappaPosizione del comune di Sora nella provincia di Frosinone,Sora – MappaPosizione del comune di Sora nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
