Patrica comune,Patrica comune.1
,
Patrica – Veduta,Patrica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Lucio Fiordaliso (lista civica) dal 31-5-2015
Territorio,Territorio
Coordinate,41°35′N 13°15′E
Altitudine,450 m s.l.m.
Superficie,"27,31 km²"
Abitanti,3 047[1] (30-11-2025)
Densità,"111,57 ab./km²"
Comuni confinanti,"Ceccano, Frosinone, Giuliano di Roma, Supino"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060048
Cod. catastale,G374
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 133 GG[3]"
Nome abitanti,patricani
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Patrica,Patrica
Patrica – MappaPosizione del comune di Patrica nella provincia di Frosinone,Patrica – MappaPosizione del comune di Patrica nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
