Pastena comune,Pastena comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Angelo D'Ovidio (lista civica Vivi Pastena) dal 4-10-2021
Territorio,Territorio
Coordinate,41°28′05″N 13°29′28″E
Altitudine,318 m s.l.m.
Superficie,"42,16 km²"
Abitanti,1 248[1] (30-11-2025)
Densità,"29,6 ab./km²"
Comuni confinanti,"Castro dei Volsci, Falvaterra, Lenola (LT), Pico, San Giovanni Incarico"
Altre informazioni,Altre informazioni
Cod. postale,03020
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060047
Cod. catastale,G362
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 878 GG[3]"
Nome abitanti,pastenesi
Patrono,sant'Elena e san Sinforo
Giorno festivo,3 maggio e ultima domenica di settembre
Cartografia,Cartografia
Pastena,Pastena
Pastena – MappaPosizione del comune di Pastena nella provincia di Frosinone,Pastena – MappaPosizione del comune di Pastena nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
